127.0.0.1 - - [15/Sep/2022:14:09:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:09:15 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11481
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:09:17 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:09:29 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11481
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:09:30 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:12:34 +0700] "GET /JavaNangCaoNhom4/BCC.jsp HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:12:36 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:13:06 +0700] "GET /JavaNangCaoNhom4/BCC.jsp HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:29:34 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11790
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:29:38 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:29:57 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11790
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:30:29 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11717
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:30:53 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11599
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:31:07 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11576
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:31:09 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11576
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:31:21 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11486
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:37:13 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:37:17 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:37:27 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:38:50 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:40:04 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:43:37 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:47:52 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:48:40 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:50:57 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:52:45 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:55:02 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:56:55 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:58:11 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [15/Sep/2022:14:59:54 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:02:46 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:02:47 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:02:48 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:02:50 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:02:51 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:03:09 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp?sngay=15&sthang=9&snam=2022&but1=xem+ket+qua HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:03:10 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp?sngay=15&sthang=9&snam=2022&but1=xem+ket+qua HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [15/Sep/2022:15:06:08 +0700] "GET /JavaNangCaoNhom4/Xoso.jsp?sngay=15&sthang=9&snam=2022&but1=xem+ket+qua HTTP/1.1" 200 2054
