127.0.0.1 - - [27/Sep/2022:15:42:51 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b2.jpg HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b1.jpg HTTP/1.1" 200 24874
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b4.jpg HTTP/1.1" 200 18376
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b6.jpg HTTP/1.1" 200 17598
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b3.jpg HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:42:59 +0700] "GET /JavaNangCaoNhom4/b5.jpg HTTP/1.1" 200 25644
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b1.jpg HTTP/1.1" 200 24874
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b2.jpg HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b3.jpg HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b4.jpg HTTP/1.1" 200 18376
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b5.jpg HTTP/1.1" 200 25644
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /JavaNangCaoNhom4/b6.jpg HTTP/1.1" 200 17598
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:43:07 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:45:27 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:46:03 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:46:38 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:47:10 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:47:44 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:49:35 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:50:03 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:50:57 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:52:58 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:53:12 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:54:04 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:55:02 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:57:23 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:58:23 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:59:21 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:01:15 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:02:28 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:03:25 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:03:57 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:05:26 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:24 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:33 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:36 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:37 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=toan HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:39 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=sinh HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:42 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=toan HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:08:43 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:11:25 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:11:27 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:12:13 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:12:33 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:13:37 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:14:52 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:15:57 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:17:46 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:18:13 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:18:25 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:18:37 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:18:55 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3124
