127.0.0.1 - - [21/Sep/2022:10:04:51 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:04:58 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:05:00 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:05:05 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:05:05 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:05:16 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=1&ipValue2=1&ope=%2B&result=0.0 HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:30 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=1&ipValue2=1&ope=%2B&result=0.0 HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:41 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=10&ipValue2=10&ope=*&result=2.0 HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:07:11 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=-1&ipValue2=1&ope=%2B&result=100.0 HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:08:08 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=-1&ipValue2=1&ope=%2B&result=100.0 HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:08:11 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=-1&ipValue2=1&ope=%2B&result=0.0 HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:08:13 +0700] "GET /JavaNangCaoNhom4/Caculator.jsp?ipValue1=-1&ipValue2=1&ope=-&result=0.0 HTTP/1.1" 200 710
