127.0.0.1 - - [12/Sep/2022:15:30:50 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:30:55 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11458
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:30:58 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:31:07 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11458
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:31:07 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:32:22 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:33:05 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11523
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:33:46 +0700] "GET /JavaNangCaoNhom4/DangKy.jsp HTTP/1.1" 200 11523
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:33 +0700] "GET /JavaNangCaoNhom4/DhkhLogin.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:34 +0700] "GET /JavaNangCaoNhom4/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:34 +0700] "GET /JavaNangCaoNhom4/image1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:35 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:46 +0700] "GET /JavaNangCaoNhom4/DhkhLogin.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:46 +0700] "GET /JavaNangCaoNhom4/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:43:46 +0700] "GET /JavaNangCaoNhom4/image1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:46:19 +0700] "GET /JavaNangCaoNhom4/DhkhLogin.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [12/Sep/2022:15:47:45 +0700] "GET /JavaNangCaoNhom4/DhkhLogin.jsp HTTP/1.1" 200 2654
